LAST SEEN   TYPE      REASON                   OBJECT                                    MESSAGE
60m         Normal    Killing                  pod/postgres-ha-1                         Stopping container postgres
60m         Normal    FailoverTarget           cluster/postgres-ha                       Failing over from postgres-ha-1 to postgres-ha-2
60m         Normal    FailingOver              cluster/postgres-ha                       Current primary isn't healthy, initiating a failover from postgres-ha-1
60m         Normal    NoPods                   poddisruptionbudget/postgres-ha-primary   No matching pods found
28m         Warning   FailedScheduling         pod/postgres-ha-1                         0/3 nodes are available: 1 node(s) didn't match PersistentVolume's node affinity, 2 Too many pods. preemption: 0/3 nodes are available: 1 Preemption is not helpful for scheduling, 2 No preemption victims found for incoming pod.
24m         Warning   FailedScheduling         pod/postgres-ha-1                         0/4 nodes are available: 1 node(s) didn't match PersistentVolume's node affinity, 1 node(s) had untolerated taint {node.cloudprovider.kubernetes.io/uninitialized: true}, 2 Too many pods. preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
24m         Warning   FailedScheduling         pod/postgres-ha-1                         0/4 nodes are available: 1 node(s) didn't match PersistentVolume's node affinity, 1 node(s) had untolerated taint {node.kubernetes.io/not-ready: }, 2 Too many pods. preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
24m         Normal    Scheduled                pod/postgres-ha-1                         Successfully assigned postgres-ha/postgres-ha-1 to ip-10-0-2-63.eu-west-1.compute.internal
24m         Normal    TaintManagerEviction     pod/postgres-ha-1                         Cancelling deletion of Pod postgres-ha/postgres-ha-1
24m         Warning   FailedAttachVolume       pod/postgres-ha-1                         AttachVolume.Attach failed for volume "pvc-4fffd1c1-b66f-4777-ad47-e1f0d05ae641" : CSINode ip-10-0-2-63.eu-west-1.compute.internal does not contain driver ebs.csi.aws.com
24m         Normal    SuccessfulAttachVolume   pod/postgres-ha-1                         AttachVolume.Attach succeeded for volume "pvc-4fffd1c1-b66f-4777-ad47-e1f0d05ae641"
24m         Normal    Pulling                  pod/postgres-ha-1                         Pulling image "ghcr.io/cloudnative-pg/cloudnative-pg:1.28.0"
23m         Normal    Started                  pod/postgres-ha-1                         Started container bootstrap-controller
23m         Normal    Created                  pod/postgres-ha-1                         Created container: bootstrap-controller
23m         Normal    Pulled                   pod/postgres-ha-1                         Successfully pulled image "ghcr.io/cloudnative-pg/cloudnative-pg:1.28.0" in 3.706s (3.706s including waiting). Image size: 37183326 bytes.
23m         Normal    Pulling                  pod/postgres-ha-1                         Pulling image "ghcr.io/cloudnative-pg/postgresql:18.1-system-trixie"
23m         Normal    Pulled                   pod/postgres-ha-1                         Successfully pulled image "ghcr.io/cloudnative-pg/postgresql:18.1-system-trixie" in 12.847s (12.847s including waiting). Image size: 275924332 bytes.
23m         Normal    Created                  pod/postgres-ha-1                         Created container: postgres
23m         Normal    Started                  pod/postgres-ha-1                         Started container postgres
