NAME                                 READY   STATUS    RESTARTS   AGE
aws-node-5ptfg                       2/2     Running   0          3d9h
aws-node-7s2xs                       2/2     Running   0          3d17h
aws-node-q6w5w                       2/2     Running   0          3d17h
aws-node-qnvlv                       2/2     Running   0          3d14h
coredns-66c598b475-84zmb             1/1     Running   0          3d17h
coredns-66c598b475-rqxsn             1/1     Running   0          3d17h
ebs-csi-controller-7f99757f7-6vw7z   6/6     Running   0          3d17h
ebs-csi-controller-7f99757f7-gnw5h   6/6     Running   0          3d17h
ebs-csi-node-5xfvb                   3/3     Running   0          3d17h
ebs-csi-node-cp4vv                   3/3     Running   0          3d9h
ebs-csi-node-njqdp                   3/3     Running   0          3d14h
ebs-csi-node-rnfn9                   3/3     Running   0          3d17h
eks-pod-identity-agent-7c2mv         1/1     Running   0          3d9h
eks-pod-identity-agent-8rg6s         1/1     Running   0          3d17h
eks-pod-identity-agent-btcqg         1/1     Running   0          3d14h
eks-pod-identity-agent-st2bq         1/1     Running   0          3d17h
kube-proxy-k5gmt                     1/1     Running   0          3d14h
kube-proxy-msm58                     1/1     Running   0          3d9h
kube-proxy-n5hg5                     1/1     Running   0          3d17h
kube-proxy-prfdw                     1/1     Running   0          3d17h
metrics-server-5dd7b49d79-xt7tl      1/1     Running   0          3d16h
