LAST SEEN   TYPE      REASON              OBJECT                                      MESSAGE
49m         Normal    ScalingReplicaSet   deployment/server-deployment                Scaled up replica set server-deployment-f8b7656dc from 0 to 1
49m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      Error creating: pods "server-deployment-f8b7656dc-6qp8d" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
49m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      Error creating: pods "server-deployment-f8b7656dc-4q8h9" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
49m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      Error creating: pods "server-deployment-f8b7656dc-b4rfn" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
49m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      Error creating: pods "server-deployment-f8b7656dc-kmmk2" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
49m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      Error creating: pods "server-deployment-f8b7656dc-5rnd2" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
49m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      Error creating: pods "server-deployment-f8b7656dc-crnxb" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
49m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      Error creating: pods "server-deployment-f8b7656dc-6vt9q" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
49m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      Error creating: pods "server-deployment-f8b7656dc-hx4np" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
49m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      Error creating: pods "server-deployment-f8b7656dc-85gxg" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
38m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      (combined from similar events): Error creating: pods "server-deployment-f8b7656dc-kpznv" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
27m         Warning   FailedCreate        replicaset/server-deployment-f8b7656dc      Error creating: pods "server-deployment-f8b7656dc-v2z9d" is forbidden: violates PodSecurity "restricted:latest": unrestricted capabilities (container "server" must set securityContext.capabilities.drop=["ALL"])
14m         Warning   FailedCreate        replicaset/postgres-deployment-5dccff8cd9   Error creating: pods "postgres-deployment-5dccff8cd9-7d2jb" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
