NAMESPACE       NAME                                                     READY   STATUS    RESTARTS   AGE
argocd          argocd-application-controller-0                          1/1     Running   0          8h
argocd          argocd-applicationset-controller-9b6b57944-c8nww         1/1     Running   0          8h
argocd          argocd-dex-server-7d9454b887-8zngj                       1/1     Running   0          8h
argocd          argocd-notifications-controller-7c8946c4f6-9kft6         1/1     Running   0          8h
argocd          argocd-redis-748644c85c-tbhkc                            1/1     Running   0          8h
argocd          argocd-repo-server-649c985f5c-sq274                      1/1     Running   0          8h
argocd          argocd-server-5544596755-qq9m8                           1/1     Running   0          8h
ingress-nginx   ingress-nginx-controller-5548987697-ghk66                1/1     Running   0          8h
kube-system     aws-node-6fqmw                                           2/2     Running   0          3h33m
kube-system     aws-node-gslvj                                           2/2     Running   0          3h47m
kube-system     aws-node-hlcsn                                           2/2     Running   0          12h
kube-system     coredns-5f5bd7db54-78qkl                                 1/1     Running   0          12h
kube-system     coredns-5f5bd7db54-dqq4l                                 1/1     Running   0          12h
kube-system     ebs-csi-controller-65b6869888-dksp8                      6/6     Running   0          9h
kube-system     ebs-csi-controller-65b6869888-fp9cl                      6/6     Running   0          9h
kube-system     ebs-csi-node-2gr6j                                       3/3     Running   0          3h33m
kube-system     ebs-csi-node-pqjth                                       3/3     Running   0          9h
kube-system     ebs-csi-node-tj8zl                                       3/3     Running   0          3h47m
kube-system     eks-pod-identity-agent-dtqvg                             1/1     Running   0          3h33m
kube-system     eks-pod-identity-agent-hwtxd                             1/1     Running   0          3h47m
kube-system     eks-pod-identity-agent-t2ghg                             1/1     Running   0          12h
kube-system     kube-proxy-k5rhl                                         1/1     Running   0          3h33m
kube-system     kube-proxy-s2hnm                                         1/1     Running   0          3h47m
kube-system     kube-proxy-w8w77                                         1/1     Running   0          12h
kube-system     metrics-server-5dd7b49d79-4t4f4                          1/1     Running   0          5h16m
observability   alertmanager-observability-kube-prometh-alertmanager-0   2/2     Running   0          3h47m
observability   observability-grafana-5fcb444c67-9x4hq                   3/3     Running   0          3h47m
observability   observability-kube-prometh-operator-9574799db-vgft2      1/1     Running   0          3h47m
observability   observability-kube-state-metrics-7fc97655c-gb5tc         1/1     Running   0          3h47m
observability   observability-prometheus-node-exporter-27fcl             0/1     Pending   0          3h47m
observability   observability-prometheus-node-exporter-br4mz             1/1     Running   0          3h47m
observability   observability-prometheus-node-exporter-nzv8l             1/1     Running   0          3h33m
observability   prometheus-observability-kube-prometh-prometheus-0       2/2     Running   0          3h47m
poc09           client-deployment-595dcfd4c4-674g2                       1/1     Running   0          3h40m
poc09           postgres-deployment-7bfb4c4cc8-mc6jt                     1/1     Running   0          96m
poc09           server-deployment-868996965-mgn8m                        1/1     Running   0          3h40m
