NAMESPACE       NAME                                                     CPU(cores)   MEMORY(bytes)   
argocd          argocd-application-controller-0                          3m           295Mi           
argocd          argocd-applicationset-controller-9b6b57944-c8nww         1m           19Mi            
argocd          argocd-dex-server-7d9454b887-8zngj                       1m           28Mi            
argocd          argocd-notifications-controller-7c8946c4f6-9kft6         1m           18Mi            
argocd          argocd-redis-748644c85c-tbhkc                            5m           8Mi             
argocd          argocd-repo-server-649c985f5c-sq274                      5m           48Mi            
argocd          argocd-server-5544596755-qq9m8                           1m           27Mi            
ingress-nginx   ingress-nginx-controller-5548987697-ghk66                1m           47Mi            
kube-system     aws-node-6fqmw                                           3m           55Mi            
kube-system     aws-node-gslvj                                           3m           56Mi            
kube-system     aws-node-hlcsn                                           5m           58Mi            
kube-system     coredns-5f5bd7db54-78qkl                                 2m           16Mi            
kube-system     coredns-5f5bd7db54-dqq4l                                 2m           16Mi            
kube-system     ebs-csi-controller-65b6869888-dksp8                      9m           73Mi            
kube-system     ebs-csi-controller-65b6869888-fp9cl                      3m           56Mi            
kube-system     ebs-csi-node-2gr6j                                       1m           22Mi            
kube-system     ebs-csi-node-pqjth                                       1m           21Mi            
kube-system     ebs-csi-node-tj8zl                                       1m           27Mi            
kube-system     eks-pod-identity-agent-dtqvg                             1m           6Mi             
kube-system     eks-pod-identity-agent-hwtxd                             1m           6Mi             
kube-system     eks-pod-identity-agent-t2ghg                             1m           6Mi             
kube-system     kube-proxy-k5rhl                                         1m           16Mi            
kube-system     kube-proxy-s2hnm                                         2m           17Mi            
kube-system     kube-proxy-w8w77                                         1m           17Mi            
kube-system     metrics-server-5dd7b49d79-4t4f4                          3m           21Mi            
observability   alertmanager-observability-kube-prometh-alertmanager-0   1m           27Mi            
observability   observability-grafana-5fcb444c67-9x4hq                   22m          324Mi           
observability   observability-kube-prometh-operator-9574799db-vgft2      2m           23Mi            
observability   observability-kube-state-metrics-7fc97655c-gb5tc         2m           14Mi            
observability   observability-prometheus-node-exporter-br4mz             2m           9Mi             
observability   observability-prometheus-node-exporter-nzv8l             2m           8Mi             
observability   prometheus-observability-kube-prometh-prometheus-0       16m          351Mi           
poc09           client-deployment-595dcfd4c4-674g2                       0m           208Mi           
poc09           postgres-deployment-7bfb4c4cc8-mc6jt                     1m           20Mi            
poc09           server-deployment-868996965-mgn8m                        1m           55Mi            
