NAMESPACE            NAME                              POD-SELECTOR             AGE
kube-system          konnectivity-agent                app=konnectivity-agent   11h
poc10-aks-tenant-a   allow-client-egress-to-server     component=web            8h
poc10-aks-tenant-a   allow-client-to-server            component=server         8h
poc10-aks-tenant-a   allow-dns                         <none>                   8h
poc10-aks-tenant-a   allow-ingress-to-client           component=web            8h
poc10-aks-tenant-a   allow-ingress-to-server           component=server         8h
poc10-aks-tenant-a   allow-server-egress-to-postgres   component=server         8h
poc10-aks-tenant-a   allow-server-to-postgres          component=postgres       8h
poc10-aks-tenant-a   poc10-aks-tenant-a-default-deny   <none>                   8h
poc10-aks-tenant-b   allow-client-egress-to-server     component=web            8h
poc10-aks-tenant-b   allow-client-to-server            component=server         8h
poc10-aks-tenant-b   allow-dns                         <none>                   8h
poc10-aks-tenant-b   allow-ingress-to-client           component=web            8h
poc10-aks-tenant-b   allow-ingress-to-server           component=server         8h
poc10-aks-tenant-b   allow-server-egress-to-postgres   component=server         8h
poc10-aks-tenant-b   allow-server-to-postgres          component=postgres       8h
poc10-aks-tenant-b   poc10-aks-tenant-b-default-deny   <none>                   8h
