NAMESPACE            NAME                                                     CPU(cores)   MEMORY(bytes)   
argocd               argocd-application-controller-0                          32m          546Mi           
argocd               argocd-applicationset-controller-85dfd5d4b-x48jt         1m           29Mi            
argocd               argocd-dex-server-5d654bd6cd-d92gx                       1m           26Mi            
argocd               argocd-notifications-controller-5474db8d6d-6ctvb         1m           27Mi            
argocd               argocd-redis-5875c9859b-5hw62                            6m           12Mi            
argocd               argocd-repo-server-54dd989c49-5kch5                      4m           86Mi            
argocd               argocd-server-7bf99cb979-gfd2w                           3m           55Mi            
ingress-nginx        ingress-nginx-controller-5b7c68f974-tjv9q                2m           48Mi            
kube-system          azure-cns-qpf89                                          0m           0Mi             
kube-system          azure-cns-tw4gp                                          0m           0Mi             
kube-system          azure-ip-masq-agent-bs7zv                                1m           14Mi            
kube-system          azure-ip-masq-agent-j6gsm                                1m           22Mi            
kube-system          azure-wi-webhook-controller-manager-5c5f59894-k2djh      4m           21Mi            
kube-system          azure-wi-webhook-controller-manager-5c5f59894-vc8dc      4m           18Mi            
kube-system          cloud-node-manager-6fkzk                                 1m           31Mi            
kube-system          cloud-node-manager-76qz5                                 1m           19Mi            
kube-system          coredns-779f9587cb-8kkqv                                 2m           56Mi            
kube-system          coredns-779f9587cb-8xmhs                                 2m           31Mi            
kube-system          coredns-autoscaler-7b4685fdfc-jl5rw                      1m           24Mi            
kube-system          csi-azuredisk-node-jjk77                                 1m           73Mi            
kube-system          csi-azuredisk-node-x8r2f                                 1m           41Mi            
kube-system          csi-azurefile-node-c9txz                                 3m           95Mi            
kube-system          csi-azurefile-node-dxpsv                                 3m           86Mi            
kube-system          konnectivity-agent-84bd8f9db6-nthgq                      2m           26Mi            
kube-system          konnectivity-agent-84bd8f9db6-r5s2h                      3m           23Mi            
kube-system          konnectivity-agent-autoscaler-95f4794f-5xlvf             1m           25Mi            
kube-system          kube-proxy-5vqwl                                         1m           26Mi            
kube-system          kube-proxy-v9hcz                                         1m           30Mi            
kube-system          metrics-server-5f5fbb69b-brlsn                           3m           42Mi            
kube-system          metrics-server-5f5fbb69b-rhk8c                           3m           45Mi            
observability        alertmanager-observability-kube-prometh-alertmanager-0   1m           31Mi            
observability        observability-grafana-67bc65fd99-rtkdd                   8m           343Mi           
observability        observability-kube-prometh-operator-6cf97df87c-wztjj     2m           31Mi            
observability        observability-kube-state-metrics-6f98c978f6-9l4k9        2m           23Mi            
observability        observability-prometheus-node-exporter-fm2z8             1m           10Mi            
observability        prometheus-observability-kube-prometh-prometheus-0       16m          270Mi           
poc10-aks-tenant-a   client-deployment-855df6fd79-6z9bc                       1m           181Mi           
poc10-aks-tenant-a   postgres-deployment-79679cc7b4-nmlrd                     1m           30Mi            
poc10-aks-tenant-a   server-deployment-754698b447-cq58l                       1m           34Mi            
poc10-aks-tenant-b   client-deployment-855df6fd79-7dtsb                       1m           179Mi           
poc10-aks-tenant-b   postgres-deployment-79679cc7b4-l47nc                     1m           30Mi            
poc10-aks-tenant-b   server-deployment-754698b447-5fjzq                       1m           34Mi            
