NAMESPACE            NAME                                                     READY   STATUS    RESTARTS      AGE
argocd               argocd-application-controller-0                          1/1     Running   0             21m
argocd               argocd-applicationset-controller-85dfd5d4b-fnqkj         1/1     Running   0             21m
argocd               argocd-dex-server-5d654bd6cd-5n2s5                       1/1     Running   0             21m
argocd               argocd-notifications-controller-5474db8d6d-sjfd9         1/1     Running   0             21m
argocd               argocd-redis-5875c9859b-t6qcw                            1/1     Running   0             21m
argocd               argocd-repo-server-54dd989c49-nd28q                      1/1     Running   0             21m
argocd               argocd-server-7bf99cb979-nzntg                           1/1     Running   0             21m
ingress-nginx        ingress-nginx-controller-5b7c68f974-vkwtp                1/1     Running   0             18m
kube-system          azure-cns-lvxg9                                          1/1     Running   0             18m
kube-system          azure-cns-mzkvb                                          1/1     Running   0             36m
kube-system          azure-ip-masq-agent-24hh4                                1/1     Running   0             36m
kube-system          azure-ip-masq-agent-d46f2                                1/1     Running   0             18m
kube-system          azure-npm-h6wwm                                          1/1     Running   0             36m
kube-system          azure-npm-s95kf                                          1/1     Running   0             18m
kube-system          azure-wi-webhook-controller-manager-97d4cb47-9tstx       1/1     Running   1 (35m ago)   37m
kube-system          azure-wi-webhook-controller-manager-97d4cb47-tjd5z       1/1     Running   1 (35m ago)   37m
kube-system          cloud-node-manager-96987                                 1/1     Running   0             18m
kube-system          cloud-node-manager-tg6th                                 1/1     Running   0             36m
kube-system          coredns-779f9587cb-9n2z7                                 1/1     Running   0             35m
kube-system          coredns-779f9587cb-nzzb6                                 1/1     Running   0             37m
kube-system          coredns-autoscaler-7b4685fdfc-m7fmm                      1/1     Running   0             37m
kube-system          csi-azuredisk-node-qjtbj                                 3/3     Running   0             36m
kube-system          csi-azuredisk-node-xtq45                                 3/3     Running   0             18m
kube-system          csi-azurefile-node-bnqfk                                 4/4     Running   0             36m
kube-system          csi-azurefile-node-db8c7                                 4/4     Running   0             18m
kube-system          konnectivity-agent-6d55c97fd8-7qprf                      1/1     Running   0             37m
kube-system          konnectivity-agent-6d55c97fd8-sdrtp                      1/1     Running   0             35m
kube-system          konnectivity-agent-autoscaler-95f4794f-42jjh             1/1     Running   0             37m
kube-system          kube-proxy-7wb68                                         1/1     Running   0             36m
kube-system          kube-proxy-mvc9f                                         1/1     Running   0             18m
kube-system          metrics-server-5f5fbb69b-6rtf9                           2/2     Running   0             35m
kube-system          metrics-server-5f5fbb69b-f2jvv                           2/2     Running   0             35m
observability        alertmanager-observability-kube-prometh-alertmanager-0   2/2     Running   0             16m
observability        observability-grafana-67bc65fd99-627rt                   3/3     Running   0             16m
observability        observability-kube-prometh-operator-6cf97df87c-vpld5     1/1     Running   0             16m
observability        observability-kube-state-metrics-6f98c978f6-v7ns9        1/1     Running   0             16m
observability        observability-prometheus-node-exporter-fstkf             1/1     Running   0             16m
observability        observability-prometheus-node-exporter-lgvj4             0/1     Pending   0             16m
observability        prometheus-observability-kube-prometh-prometheus-0       2/2     Running   0             16m
poc10-aks-tenant-a   client-deployment-855df6fd79-9cdp4                       1/1     Running   0             19m
poc10-aks-tenant-a   postgres-deployment-79679cc7b4-56csl                     1/1     Running   0             19m
poc10-aks-tenant-a   server-deployment-754698b447-7hjtq                       1/1     Running   0             19m
poc10-aks-tenant-b   client-deployment-855df6fd79-8h92m                       1/1     Running   0             19m
poc10-aks-tenant-b   postgres-deployment-79679cc7b4-6vh8r                     1/1     Running   0             19m
poc10-aks-tenant-b   server-deployment-754698b447-drgp8                       1/1     Running   0             19m
