NAMESPACE            NAME                                                     READY   STATUS    RESTARTS        AGE
argocd               argocd-application-controller-0                          1/1     Running   0               9h
argocd               argocd-applicationset-controller-85dfd5d4b-vwd6z         1/1     Running   0               9h
argocd               argocd-dex-server-5d654bd6cd-bb745                       1/1     Running   0               9h
argocd               argocd-notifications-controller-5474db8d6d-glv4g         1/1     Running   0               9h
argocd               argocd-redis-5875c9859b-lmjbt                            1/1     Running   0               9h
argocd               argocd-repo-server-54dd989c49-p6dmm                      1/1     Running   0               9h
argocd               argocd-server-86b87d5d65-rdf9c                           1/1     Running   0               9h
ingress-nginx        ingress-nginx-controller-5b7c68f974-sdts4                1/1     Running   0               5d14h
kube-system          coredns-66bc5c9577-gtdj2                                 1/1     Running   0               5d15h
kube-system          coredns-66bc5c9577-w7txj                                 1/1     Running   0               5d15h
kube-system          etcd-desktop-control-plane                               1/1     Running   0               5d15h
kube-system          kindnet-9k9bf                                            1/1     Running   0               5d15h
kube-system          kube-apiserver-desktop-control-plane                     1/1     Running   0               5d15h
kube-system          kube-controller-manager-desktop-control-plane            1/1     Running   2 (4d5h ago)    5d15h
kube-system          kube-proxy-ttl8x                                         1/1     Running   0               5d15h
kube-system          kube-scheduler-desktop-control-plane                     1/1     Running   1 (4d5h ago)    5d15h
kube-system          metrics-server-799f7ccf68-9zdqg                          1/1     Running   2 (4d3h ago)    5d14h
local-path-storage   local-path-provisioner-5c4cdb564f-mlqs4                  1/1     Running   0               5d15h
observability        alertmanager-observability-kube-prometh-alertmanager-0   2/2     Running   0               5d14h
observability        observability-grafana-67bc65fd99-pwqlq                   3/3     Running   1 (5d14h ago)   5d14h
observability        observability-kube-prometh-operator-6cf97df87c-kpmfk     1/1     Running   0               5d14h
observability        observability-kube-state-metrics-6f98c978f6-kjz4f        1/1     Running   0               5d14h
observability        observability-prometheus-node-exporter-6rklp             1/1     Running   0               5d14h
observability        prometheus-observability-kube-prometh-prometheus-0       2/2     Running   0               5d14h
poc09                client-deployment-5c67bcc747-dm69n                       1/1     Running   0               3d4h
poc09                postgres-deployment-79679cc7b4-7xxj9                     1/1     Running   0               4d3h
poc09                server-deployment-86f694bcdc-hzbh6                       1/1     Running   0               3d4h
poc12-tenant-a       client-deployment-855df6fd79-fbv2n                       1/1     Running   0               66m
poc12-tenant-a       postgres-deployment-79679cc7b4-rq6jc                     1/1     Running   0               66m
poc12-tenant-a       server-deployment-754698b447-cxt4p                       1/1     Running   0               66m
poc12-tenant-b       client-deployment-855df6fd79-82z9r                       1/1     Running   0               66m
poc12-tenant-b       postgres-deployment-79679cc7b4-jzslt                     1/1     Running   0               66m
poc12-tenant-b       server-deployment-754698b447-qswjg                       1/1     Running   0               66m
